"sig1","sig2","n11","n10","n01","n00","phi","p_value","p_adj"
"C_ID1/InsDel1a","C_ID1/InsDel1b",2,3810,151,3012,-0.160473338866396,6.82387492639035e-50,7.50626241902938e-49
"C_ID1/InsDel1a","C_ID1/InsDel1c",0,3812,573,2590,-0.328432651226782,5.06032284721557e-211,2.78317756596856e-209
"C_ID1/InsDel1a","C_ID2/InsDel2a",38,3774,200,2963,-0.146058408672112,4.12807260137046e-36,2.83804991344219e-35
"C_ID1/InsDel1a","C_ID2/InsDel2b",5,3807,89,3074,-0.115823167007006,5.35301565214396e-25,2.10297043477084e-24
"C_ID1/InsDel1a","C_ID2/InsDel2c",20,3792,76,3087,-0.0802512577161287,1.28928095434195e-11,2.8364180995523e-11
"C_ID1/InsDel1a","ID_N/InsDel_N_alpha",7,3805,53,3110,-0.0804306046106476,3.44979717061523e-12,8.24951497321034e-12
"C_ID1/InsDel1a","ID_N/InsDel_N_beta",1188,2624,1452,1711,-0.151306551326305,1.52617191963467e-36,1.19913507971295e-35
"C_ID1/InsDel1a","C_ID7/InsDel7",19,3793,138,3025,-0.129701004011747,2.11821185144094e-29,9.70847098577097e-29
"C_ID1/InsDel1a","ID_D/InsDel_D",42,3770,129,3034,-0.0958229702917542,1.00681456283859e-15,2.91446320821698e-15
"C_ID1/InsDel1a","ID_J/InsDel_J",15,3797,89,3074,-0.0994184142899391,1.24623002718707e-17,4.28391571845556e-17
"C_ID1/InsDel1b","C_ID1/InsDel1c",1,152,572,6250,-0.0412386581166554,4.07467253351713e-05,7.22925772075621e-05
"C_ID1/InsDel1b","C_ID2/InsDel2a",11,142,227,6595,0.0311602007340374,0.0199035684372497,0.0295863855148307
"C_ID1/InsDel1b","C_ID2/InsDel2b",4,149,90,6732,0.0164520932889039,0.151051100133735,0.207695262683886
"C_ID1/InsDel1b","C_ID2/InsDel2c",1,152,95,6727,-0.00929016627769791,0.725434713483059,0.797978184831365
"C_ID1/InsDel1b","ID_N/InsDel_N_alpha",6,147,54,6768,0.0496450376182997,0.00190383104924637,0.00317305174874394
"C_ID1/InsDel1b","ID_N/InsDel_N_beta",17,136,2623,4199,-0.0825604743792524,8.53050497456626e-14,2.34588886800572e-13
"C_ID1/InsDel1b","C_ID7/InsDel7",0,153,157,6665,-0.0227253816570981,0.0513454658719699,0.0743158058673248
"C_ID1/InsDel1b","ID_D/InsDel_D",6,147,165,6657,0.0142350211235266,0.278914858373352,0.356751563035683
"C_ID1/InsDel1b","ID_J/InsDel_J",0,153,104,6718,-0.0184245357358095,0.175755324463707,0.230155782035806
"C_ID1/InsDel1c","C_ID2/InsDel2a",8,565,230,6172,-0.0332229372651136,0.0036261905446867,0.00586589646934613
"C_ID1/InsDel1c","C_ID2/InsDel2b",17,556,77,6325,0.0420113543026169,0.00178179908846083,0.00306246718329204
"C_ID1/InsDel1c","C_ID2/InsDel2c",5,568,91,6311,-0.0129352574355952,0.350877000214403,0.438596250268004
"C_ID1/InsDel1c","ID_N/InsDel_N_alpha",4,569,56,6346,-0.00525252517428795,0.816052799636534,0.863132768846334
"C_ID1/InsDel1c","ID_N/InsDel_N_beta",116,457,2524,3878,-0.108594171254039,4.75428073908057e-21,1.74323627099621e-20
"C_ID1/InsDel1c","C_ID7/InsDel7",18,555,139,6263,0.0179598338490719,0.140188401797875,0.197701592279055
"C_ID1/InsDel1c","ID_D/InsDel_D",15,558,156,6246,0.00321501880651182,0.777377910544934,0.838348727058262
"C_ID1/InsDel1c","ID_J/InsDel_J",7,566,97,6305,-0.00665017269224586,0.719415120790952,0.797978184831365
"C_ID2/InsDel2a","C_ID2/InsDel2b",8,230,86,6651,0.0328245616861813,0.0145741813873917,0.0229022850373298
"C_ID2/InsDel2a","C_ID2/InsDel2c",4,234,92,6645,0.0049095684389675,0.570519975275786,0.667629758301451
"C_ID2/InsDel2a","ID_N/InsDel_N_alpha",2,236,58,6679,-0.000404594961634401,1,1
"C_ID2/InsDel2a","ID_N/InsDel_N_beta",108,130,2532,4205,0.029175765103956,0.0171678974556826,0.0262287322239596
"C_ID2/InsDel2a","C_ID7/InsDel7",23,215,134,6603,0.093931942753681,2.48739728653837e-09,4.88595895570037e-09
"C_ID2/InsDel2a","ID_D/InsDel_D",24,214,147,6590,0.0927644364248673,2.66385162993511e-09,5.05213240160107e-09
"C_ID2/InsDel2a","ID_J/InsDel_J",6,232,98,6639,0.0159733834262155,0.170246531529318,0.228379493514939
"C_ID2/InsDel2b","C_ID2/InsDel2c",10,84,86,6795,0.0929151854994368,5.28818050223779e-07,9.69499758743596e-07
"C_ID2/InsDel2b","ID_N/InsDel_N_alpha",1,93,59,6822,0.00257703218499704,0.558504230054227,0.667629758301451
"C_ID2/InsDel2b","ID_N/InsDel_N_beta",8,86,2632,4249,-0.0707014870528014,1.12861574981693e-10,2.3874563938435e-10
"C_ID2/InsDel2b","C_ID7/InsDel7",51,43,106,6775,0.409773923537476,7.08049831435833e-62,1.29809135763236e-60
"C_ID2/InsDel2b","ID_D/InsDel_D",19,75,152,6729,0.134237331089668,6.77170770441045e-13,1.69292692610261e-12
"C_ID2/InsDel2b","ID_J/InsDel_J",15,79,89,6792,0.139513555488999,5.02962278293334e-12,1.15262188775556e-11
"C_ID2/InsDel2c","ID_N/InsDel_N_alpha",0,96,60,6819,-0.0110040484722023,1,1
"C_ID2/InsDel2c","ID_N/InsDel_N_beta",10,86,2630,4249,-0.0668175778870034,1.80843452140132e-09,3.68384809915085e-09
"C_ID2/InsDel2c","C_ID7/InsDel7",42,54,115,6764,0.33050464573893,2.1328031667762e-45,1.95506956954485e-44
"C_ID2/InsDel2c","ID_D/InsDel_D",22,74,149,6730,0.156332709861643,5.33926569936786e-16,1.63144229702907e-15
"C_ID2/InsDel2c","ID_J/InsDel_J",28,68,76,6803,0.269766490664596,8.80103293375986e-30,4.40051646687993e-29
"ID_N/InsDel_N_alpha","ID_N/InsDel_N_beta",0,60,2640,4275,-0.0726920548306951,4.00248476617551e-13,1.04826981971263e-12
"ID_N/InsDel_N_alpha","C_ID7/InsDel7",2,58,155,6760,0.00679748346680869,0.392866999061606,0.480170776630852
"ID_N/InsDel_N_alpha","ID_D/InsDel_D",2,58,169,6746,0.00531097724988504,0.659132846867467,0.75525638703564
"ID_N/InsDel_N_alpha","ID_J/InsDel_J",0,60,104,6811,-0.0114600425030679,1,1
"ID_N/InsDel_N_beta","C_ID7/InsDel7",0,2640,157,4178,-0.118421004403218,1.47376183629128e-33,9.00632233289113e-33
"ID_N/InsDel_N_beta","ID_D/InsDel_D",6,2634,165,4170,-0.11224645217256,3.6252746661211e-27,1.53377005105123e-26
"ID_N/InsDel_N_beta","ID_J/InsDel_J",3,2637,101,4234,-0.0886923219763405,1.89444513075966e-17,6.12908718775183e-17
"C_ID7/InsDel7","ID_D/InsDel_D",59,98,112,6706,0.344698042493343,2.51817376805485e-57,3.46248893107542e-56
"C_ID7/InsDel7","ID_J/InsDel_J",71,86,33,6785,0.547566850073634,8.23196245719412e-99,2.26378967572838e-97
"ID_D/InsDel_D","ID_J/InsDel_J",35,136,69,6735,0.248231206846727,1.6975145789624e-31,9.33633018429322e-31
