"signature","stratum","n_samples","n_present_5pct","pct_present","median_share","mean_share","max_share","total_indels_attributed"
"C_ID1/InsDel1a","MSS non-hypermutated",6408,3676,57.3657927590512,0.176267530168591,0.212645974381461,1,1936958
"C_ID1/InsDel1a","MSS hypermutated",476,120,25.2100840336134,0,0.0631665610486708,0.834695649028898,273953
"C_ID1/InsDel1a","MSI-H",91,16,17.5824175824176,0,0.0324145914034698,0.965237609704501,188433
"C_ID1/InsDel1b","MSS non-hypermutated",6408,143,2.23158551810237,0,0.0060648577786581,1,22768
"C_ID1/InsDel1b","MSS hypermutated",476,10,2.10084033613445,0,0.0130717345091156,0.945713167166906,86330
"C_ID1/InsDel1b","MSI-H",91,0,0,0,0,0,0
"C_ID1/InsDel1c","MSS non-hypermutated",6408,548,8.5518102372035,0,0.0283907433468161,1,143314
"C_ID1/InsDel1c","MSS hypermutated",476,17,3.57142857142857,0,0.00524855573099906,0.400042625745951,47828
"C_ID1/InsDel1c","MSI-H",91,8,8.79120879120879,0,0.0113075765566696,0.187485629167541,55466
"C_ID2/InsDel2a","MSS non-hypermutated",6408,161,2.51248439450687,0,0.0077117131396466,0.784130688448075,142239
"C_ID2/InsDel2a","MSS hypermutated",476,61,12.8151260504202,0,0.0357490987419459,0.700402975821451,206292
"C_ID2/InsDel2a","MSI-H",91,16,17.5824175824176,0,0.0538761885387437,0.543316366189413,169189
"C_ID2/InsDel2b","MSS non-hypermutated",6408,38,0.593008739076155,0,0.00172508157313973,0.692307692307692,6885
"C_ID2/InsDel2b","MSS hypermutated",476,24,5.04201680672269,0,0.0102652476215333,0.795985208663497,216652
"C_ID2/InsDel2b","MSI-H",91,32,35.1648351648352,0,0.0607917347869247,0.48460038173114,480612
"C_ID2/InsDel2c","MSS non-hypermutated",6408,51,0.795880149812734,0,0.00163556166730556,1,8856
"C_ID2/InsDel2c","MSS hypermutated",476,19,3.99159663865546,0,0.00862204402011032,0.82473389612773,411259
"C_ID2/InsDel2c","MSI-H",91,26,28.5714285714286,0,0.0555088122932508,0.695856006176145,511313
"ID_N/InsDel_N_alpha","MSS non-hypermutated",6408,55,0.858302122347066,0,0.00262345254403811,1,5917
"ID_N/InsDel_N_alpha","MSS hypermutated",476,3,0.630252100840336,0,0.000956662364997361,0.174632462353431,7894
"ID_N/InsDel_N_alpha","MSI-H",91,2,2.1978021978022,0,0.0175745328741856,0.827492094418544,205208
"ID_N/InsDel_N_beta","MSS non-hypermutated",6408,2375,37.0630461922597,0,0.165412990063712,1,2430309
"ID_N/InsDel_N_beta","MSS hypermutated",476,265,55.672268907563,0.163371764762067,0.310445410208432,1,908788
"ID_N/InsDel_N_beta","MSI-H",91,0,0,0,0,0,0
"C_ID7/InsDel7","MSS non-hypermutated",6408,12,0.187265917602996,0,0.000553234248621023,0.700934579439252,9482
"C_ID7/InsDel7","MSS hypermutated",476,57,11.9747899159664,0,0.0771023539095975,0.96776257899368,3224613
"C_ID7/InsDel7","MSI-H",91,88,96.7032967032967,0.677529835463597,0.631229248009506,0.93635449262405,4396381
"ID_D/InsDel_D","MSS non-hypermutated",6408,103,1.60736579275905,0,0.00671167275248046,1,29947
"ID_D/InsDel_D","MSS hypermutated",476,33,6.9327731092437,0,0.0104182546662005,0.710120409991044,326862
"ID_D/InsDel_D","MSI-H",91,35,38.4615384615385,0,0.0623939883487199,0.856378056840714,270689
"ID_J/InsDel_J","MSS non-hypermutated",6408,32,0.499375780274657,0,0.00207667967296777,1,1875
"ID_J/InsDel_J","MSS hypermutated",476,33,6.9327731092437,0,0.00824897883590071,0.206926159129937,441871
"ID_J/InsDel_J","MSI-H",91,39,42.8571428571429,0,0.048698942590405,0.249087356676436,422546
